Place,Average_AQI
High Bridge - Morrisania,38.11
Hunts Point - Mott Haven,36.74
Crotona -Tremont,36.19
East Harlem,33.65
Central Harlem - Morningside Heights,32.5
Bronx,30.38
Manhattan,29.7
Gramercy Park - Murray Hill,29.58
Union Square - Lower East Side,28.88
Stuyvesant Town and Turtle Bay (CD6),28.36
Chelsea - Clinton,28.16
Bedford Stuyvesant - Crown Heights,26.57
Midtown (CD5),26.42
Williamsburg - Bushwick,25.66
Clinton and Chelsea (CD4),25.4
Fordham - Bronx Pk,25.03
Upper East Side (CD8),24.71
East New York,24.3
Greenwich Village and Soho (CD2),23.86
Lower East Side and Chinatown (CD3),23.82
Washington Heights,23.66
Upper East Side,23.62
Upper West Side,23.47
Financial District (CD1),23.42
East Harlem (CD11),23.33
Lower Manhattan,23.1
Upper West Side (CD7),23.08
New York City,23.0
Brooklyn,22.73
Fort Greene and Brooklyn Heights (CD2),22.53
Pelham - Throgs Neck,22.46
Morningside Heights and Hamilton Heights (CD9),22.0
Port Richmond,21.97
Northeast Bronx,21.86
East Flatbush - Flatbush,21.73
Washington Heights and Inwood (CD12),21.69
Woodside and Sunnyside (CD2),21.57
Downtown - Heights - Slope,21.47
Fordham and University Heights (CD5),21.42
Greenwich Village - SoHo,21.35
Highbridge and Concourse (CD4),21.05
Chelsea-Village,20.93
Upper East Side-Gramercy,20.66
Sunset Park (CD7),20.42
Belmont and East Tremont (CD6),20.37
Elmhurst and Corona (CD4),20.35
Rego Park and Forest Hills (CD6),20.3
Mott Haven and Melrose (CD1),20.17
Jamaica,20.13
Greenpoint and Williamsburg (CD1),20.12
Central Harlem (CD10),20.1
Stapleton - St. George,20.06
Park Slope and Carroll Gardens (CD6),20.02
West Queens,19.67
Crown Heights and Prospect Heights (CD8),19.64
Kingsbridge - Riverdale,19.6
Greenpoint,19.35
Brownsville (CD16),19.34
Jackson Heights (CD3),19.32
Union Square-Lower Manhattan,19.31
Queens,19.17
Long Island City - Astoria,19.14
Bedford Stuyvesant (CD3),19.13
East Flatbush (CD17),19.05
Kingsbridge Heights and Bedford (CD7),18.98
South Crown Heights and Lefferts Gardens (CD9),18.88
Sunset Park,18.71
Canarsie - Flatlands,18.68
Fresh Meadows,18.63
Parkchester and Soundview (CD9),18.51
Bay Ridge and Dyker Heights (CD10),18.48
Hillcrest and Fresh Meadows (CD8),18.43
Borough Park (CD12),18.43
Hunts Point and Longwood (CD2),18.41
Rockaways,18.38
Southwest Queens,18.21
South Ozone Park and Howard Beach (CD10),18.11
Ridgewood and Maspeth (CD5),18.08
Bushwick (CD4),17.89
Flatbush and Midwood (CD14),17.87
Throgs Neck and Co-op City (CD10),17.84
East New York and Starrett City (CD5),17.81
Ridgewood - Forest Hills,17.73
Morrisania and Crotona (CD3),17.71
Bayside and Little Neck (CD11),17.68
South Bronx,17.67
Long Island City and Astoria (CD1),17.67
Kew Gardens and Woodhaven (CD9),17.61
Queens Village (CD13),17.6
Southeast Queens,17.52
Flushing and Whitestone (CD7),17.09
Bensonhurst (CD11),17.03
Williamsbridge and Baychester (CD12),16.94
Coney Island - Sheepshead Bay,16.77
Jamaica and Hollis (CD12),16.73
Borough Park,16.7
Sheepshead Bay (CD15),16.65
Staten Island,16.64
Morris Park and Bronxdale (CD11),16.6
Flushing - Clearview,16.43
Riverdale and Fieldston (CD8),16.33
Bensonhurst - Bay Ridge,16.2
Flatlands and Canarsie (CD18),16.09
Coney Island (CD13),15.66
Bayside Little Neck-Fresh Meadows,15.61
St. George and Stapleton (CD1),15.31
Willowbrook,15.27
Bayside - Little Neck,15.19
Northern SI,14.95
South Beach and Willowbrook (CD2),14.09
Southern SI,13.64
Rockaway and Broad Channel (CD14),13.35
South Beach - Tottenville,13.0
Tottenville and Great Kills (CD3),12.7
